Compound_Name,CAS_Number,Odor_Description,RI_OV101,RI_DB5,RI_OV17,RI_C20M
nonanal,124-19-6,"fat, citrus, green",1079,1104,1195,1385
propyl hexanoate,626-77-7,fruit,1080,1097,1188,1445
2-phenylethyl alcohol,60-12-8,"honey, spice, rose, lilac",1080,1118,1272,1925
3-nonenal,109351-28-2,fat,1083,1100,1191,1351
isopropylmethoxypyrazine,25773-40-4,"pea, earth",1083,1097,1151,1427
"3,6-nonadienal",21944-83-2,"fat, soap",1083,1100,1187,1444
ethyl heptylate,106-30-9,fruit,1083,1100,1191,1448
2-methyl-2-(methyldithio)propanal,67952-60-7,"smoke, fat",1084,1101,1192,1570
hotrienol,20053-88-7,hyacinth,1084,1101,1366,1623
linalool,78-70-6,"flower, lavender",1085,1100,1202,1537
ethenyl-dimethylpyrazine,157615-33-3,earth,1085,1102,1183,1553
"2,4-octadienal",30361-28-5,"green, seaweed, cucumber",1087,1110,1247,1605
octenol,18409-17-1,"soap, plastic",1087,1104,1195,1610
acetylthiazoline,29926-41-8,"roast, popcorn",1088,1105,1246,1767
δ-terpinene,586-62-9,"pine, plastic",1089,1090,1112,1284
(E)-linalool oxide,34995-77-2,flower,1089,1172,1263,1449
(+)-cis-rose oxide,876-17-5,"green, flower",1092,1109,1081,1338
nonanone,821-55-6,"hot milk, soap, green",1093,1093,1184,1388
trans-sabinene hydrate,17699-16-0,"wood, balsamic",1093,1110,1201,1458
(-)-cis-rose oxide,3033-23-6,"sweet, rose",1094,1117,1169,1337
methyl cinnamate,103-26-4,strawberry,1096,1379,1470,2056
p-menthatriene,18368-95-1,turpentine,1098,1115,1158,1375
(methylbutenyl)-methylfuran,15186-51-3,mint,1099,1116,1207,1464
undecane,1120-21-4,alkane,1100,1100,1100,1100
α-p-dimethylstyrene,1195-32-0,"citrus, pine",1101,1118,1157,1414
formylmethyl thiophene,13679-70-4,sulfur,1102,1119,1272,1785
4-ethyl-6-hepten-3-one,131671-56-2,fish,1103,1120,1211,1468
"(E)-p-mentha-2,8-dien-1-ol",7212-40-0,"fresh, mint",1105,1122,1213,1470
pinenol,168564-54-3,"must, dust",1106,1123,1214,1471
perillen,539-52-6,wood,1109,1126,1038,1295
menthone,89-80-5,"fresh, green",1109,1126,1217,1474
octenhydroperoxide,72755-76-1,"metal, mushroom",1110,1127,1267,1524
"2-acetyl-3,4,5,6-tetrahydropyridine",27300-27-2,caramel,1110,1127,1362,1619
(E)-rose oxide,5258-11-7,flower,1111,1134,1183,1373
γ-heptalactone,105-21-5,"nut, fat, fruit",1113,1130,1513,1770
nerol oxide,1786-08-9,"oil, flower",1114,1131,1222,1479
limonene oxide,1195-92-2,fruit,1115,1132,1223,1428
ethyl cyclohexanoate,3289-28-9,fruit,1116,1133,1209,1429
methyl cyclohexanecarboxylate,4630-82-4,"fruit, ester",1116,1133,1209,1466
4-mercapto-4-methyl-2-pentanol,31539-84-1,"flower, lemon",1116,1133,1224,1481
benzyl alcohol,100-51-6,"sweet, flower",1117,1039,1220,1865
(Z)-limonene oxide,13837-75-7,"fresh, citrus",1119,1137,1228,1467
3-terpinen-1-ol,586-82-3,must,1120,1137,1332,1589
2-nonenal,60784-31-8,"orris, fat, cucumber",1121,1147,1241,1510
(E)-limonene oxide,4959-35-7,"fresh, citrus",1122,1142,1233,1480
(+)-(E)-limonene oxide,6909-30-4,green,1122,1139,1230,1490
camphor,76-22-2,camphor,1122,1139,1230,1491
fenchyl alcohol,1632-73-1,camphor,1122,1139,1230,1574
ethyl-4-hydroxymethyl- 3(2H)-Furanone,110516-60-4,caramel,1122,1139,1303,2087
pentyl methylbutyrate,68039-26-9,apple,1123,1140,1231,1488
α-fenchyl alcohol,14575-74-7,camphor,1123,1140,1300,1557
α-fenchyl alcohol,14575-74-7,camphor,1123,1140,1300,1557
menthone,10458-14-7,mint,1125,1142,1233,1490
β-terpineol,138-87-4,must,1127,1144,1389,1646
methylcyclopentapyrazine,65128-99-6,roast,1128,1145,1260,1517
p-2-menthen-1-ol,619-62-5,herb,1128,1145,1281,1538
(E)-2-nonenal,18829-56-6,"cucumber, fat, green",1130,1162,1282,1527
3-(acetylthio)-2-methylfuran,55764-25-5,roasted meat,1130,1147,1238,1700
octyl acetate,2051-50-5,fruit,1132,1149,1240,1497
sesquiphellandrene,73744-93-1,"sweet, fruit, herb",1132,1149,1240,1780
citronellal,106-23-0,fat,1134,1159,1246,1488
2-nonenal,2463-53-8,paper,1137,1154,1245,1502
nonanol,143-08-8,"fat, green",1137,1154,1245,1502
"2,6-nonadienal",557-48-2,"cucumber, wax, green",1137,1154,1260,1575
acetylmethylcyclohexene,70286-20-3,spice,1141,1158,1249,1539
homofuraneol,27538-10-9,caramel,1142,1159,1310,2087
diethylmethylpyrazine,18138-05-1,baked,1143,1160,1251,1508
4-pentenyl isothiocyanate,18060-79-2,"mustard, horseradish",1144,1161,1252,1509
benzyl acetate,140-11-4,"fresh, boiled vegetable",1147,1162,1253,1510
diethylmethyl pyrazine,18138-04-0,"potato, meat, roast",1147,1158,1218,1535
methyldithiofurane,65505-17-1,"thiamin, meat",1150,1172,1263,1520
methyl-(methyldithio)furan,65505-17-1,"cooked meat, thiamin",1150,1170,1261,1667
diethyl succinate,123-25-1,"wine, fruit",1150,1167,1258,1689
"2,6-nonadienol",7786-44-9,cucumber,1150,1167,1258,1755
nonadienol,28069-72-9,cucumber,1150,1167,1258,1771
cis-isocitral,72203-97-5,green,1151,1168,1259,1516
camphene hydrate,465-31-6,camphor,1152,1169,1260,1517
pinocarveol,4955-29-7,flower,1152,1169,1375,1632
ethylphenol,620-17-7,must,1152,1169,1395,2170
l-menthol,2216-51-5,peppermint,1154,1171,1369,1626
ethylbenzaldehyde,4748-78-1,sweet,1154,1171,1262,1753
isoborneol,124-76-5,"must, camphor",1157,1158,1249,1506
